0	23.2108
33.3333	9.536
66.6667	10.6279
100	10.2883
133.3333	78.9712
166.6667	7.4784
200	1.5779
233.3333	1.0682
266.6667	52.5785
300	57.8806
333.3333	16.0944
366.6667	73.0188
400	7.257
433.3333	3.7411
466.6667	71.8949
500	7.5291
533.3333	2.177
566.6667	1.7699
600	1.9325
633.3333	0.7492
666.6667	0.6961
700	0.1764
733.3333	0.995
766.6667	0.1995
800	69.833
833.3333	1.1882
866.6667	7.3702
900	29.0413
933.3333	1.1582
966.6667	0.8824
1000	0.6735
1033.3334	1.0138
1066.6666	0.7836
1100	0.2846
1133.3334	67.6635
1166.6666	0.5866
1200	6.2201
1233.3334	1.8593
1266.6666	10.4622
1300	0.2208
1333.3334	6.3121
1366.6666	1.252
1400	0.9243
1433.3334	0.7267
1466.6666	65.7986
1500	1.0713
1533.3334	0.8674
1566.6666	10.2846
1600	11.01
1633.3334	0.5178
1666.6666	0.9719
1700	3.3452
1733.3334	2.9593
1766.6666	1.4153
1800	61.8005
1833.3334	0.6223
1866.6666	21.7836
1900	1.4572
1933.3334	0.9675
1966.6666	0.5297
2000	0.5497
2033.3334	0.3834
2066.6667	0.8468
2100	0.07692
2133.3333	64.8781
2166.6667	5.2745
2200	1.0663
2233.3333	0.6379
2266.6667	2.5109
2300	1.5347
2333.3333	0.4346
2366.6667	0.3502
2400	1.1276
2433.3333	0.4665
2466.6667	64.3965
2500	1.2001
2533.3333	5.7079
2566.6667	13.5685
2600	0.01188
2633.3333	0.3014
2666.6667	6.2064
2700	6.4002
2733.3333	0.8355
2766.6667	0.8987
2800	68.7761
2833.3333	16.4803
2866.6667	2.3621
2900	0.5729
2933.3333	0.631
2966.6667	0.3777
3000	0.2971
3033.3333	0.5253
3066.6667	0.242
3100	0.2545
3133.3333	69.2445
3166.6667	0.5191
3200	0.2195
3233.3333	7.4659
3266.6667	8.0926
3300	0.4897
3333.3333	0.7473
3366.6667	1.0594
3400	2.6066
3433.3333	0.9737
3466.6667	63.4397
3500	1.2908
3533.3333	8.1632
3566.6667	0.1107
3600	0.6116
3633.3333	1.1764
3666.6667	1.0669
3700	0.4847
3733.3333	0.3296
3766.6667	0.4703
3800	69.873
3833.3333	1.207
3866.6667	0.6685
3900	0.4334
3933.3333	0.7336
3966.6667	6.2264
4000	0.6141
4033.3333	0.7211
4066.6667	3.8412
4100	0.5178
4133.3335	66.8505
4166.6665	0.7042
4200	5.5203
4233.3335	6.0869
4266.6665	0.09131
4300	0.5122
4333.3335	1.0313
4366.6665	2.4478
4400	0.3246
4433.3335	0.1082
4466.6665	67.0075
4500	7.2664
4533.3335	0.127
4566.6665	0.8806
4600	1.0363
4633.3335	0.9756
4666.6665	0.2958
4700	0.566
4733.3335	0.4847
4766.6665	11.6754
4800	69.6936
4833.3335	0.7467
4866.6665	0.1914
4900	5.5585
4933.3335	5.9337
4966.6665	0.6141
5000	0.4872
5033.3335	0.9187
5066.6665	1.8712
5100	0.4422
5133.3335	68.7911
5166.6665	1.3727
5200	7.3365
5233.3335	0.7423
5266.6665	0.6135
5300	1.2889
5333.3335	1.878
5366.6665	0.4103
5400	0.1639
5433.3335	0.7423
5466.6665	67.8856
5500	0.5466
5533.3335	0.2445
5566.6665	5.9606
5600	5.9431
5633.3335	0.9525
5666.6665	1.0688
5700	12.3815
5733.3335	0.07942
5766.6665	67.3796
5800	1.2695
5833.3335	5.4903
5866.6665	6.3565
5900	0.6285
5933.3335	0.7386
5966.6665	0.8981
6000	1.8361
6033.3335	0.4409
6066.6665	0.1201
6100	67.5197
6133.3335	6.212
6166.6665	0.1876
6200	0.419
6233.3335	0.9112
6266.6665	1.1126
6300	0.2745
6333.3335	0.1889
6366.6665	1.0444
6400	0.08255
6433.3335	67.2433
6466.6665	0.541
6500	5.4828
6533.3335	5.9187
6566.6665	0.09881
6600	0.5641
6633.3335	0.9112
6666.6665	11.9287
6700	1.5804
6733.3335	0.6285
