0	238.727
33.3333	145.7961
66.6667	98.9493
100	98.4592
133.3333	69.2171
166.6667	81.0877
200	85.2618
233.3333	63.4676
266.6667	65.0622
300	81.1069
333.3333	214.0485
366.6667	214.6797
400	241.4475
433.3333	216.0423
466.6667	112.2986
500	52.3368
533.3333	63.764
566.6667	65.3084
600	67.2878
633.3333	85.2092
666.6667	126.2491
700	238.5274
733.3333	233.011
766.6667	139.9115
800	62.7779
833.3333	51.23
866.6667	114.6976
900	175.6371
933.3333	125.7232
966.6667	64.0366
1000	59.0868
1033.3334	75.71
1066.6666	89.1167
1100	298.3026
1133.3334	295.4482
1166.6666	163.7461
1200	66.5049
1233.3334	65.0538
1266.6666	52.766
1300	98.6302
1333.3334	170.3275
1366.6666	119.4274
1400	59.0402
1433.3334	73.0803
1466.6666	161.3627
1500	162.0476
1533.3334	155.3239
1566.6666	177.8066
1600	152.0022
1633.3334	151.4559
1666.6666	100.3431
1700	56.328
1733.3334	60.1219
1766.6666	59.0581
1800	98.4855
1833.3334	235.3227
1866.6666	266.6005
1900	177.9369
1933.3334	97.4181
1966.6666	89.1573
2000	106.4547
2033.3334	144.1167
2066.6667	109.2051
2100	63.3409
2133.3333	58.4461
2166.6667	57.8771
2200	172.2651
2233.3333	255.5427
2266.6667	258.1126
2300	237.919
2333.3333	145.6024
2366.6667	57.7432
2400	57.6082
2433.3333	59.8243
2466.6667	58.2345
2500	77.65
2533.3333	131.2479
2566.6667	239.1167
2600	267.7169
2633.3333	222.9213
2666.6667	117.5675
2700	75.6503
2733.3333	87.289
2766.6667	50.404
2800	53.7126
2833.3333	53.6804
2866.6667	60.9909
2900	183.2883
2933.3333	260.0562
2966.6667	187.2699
3000	87.6572
3033.3333	86.7846
3066.6667	86.0889
3100	15.2821
3133.3333	85.9491
3166.6667	63.9242
3200	74.2816
3233.3333	215.3598
3266.6667	218.1508
3300	113.0265
3333.3333	74.8446
3366.6667	140.3419
3400	171.9496
3433.3333	129.6295
3466.6667	69.0736
3500	58.0636
3533.3333	67.3548
3566.6667	106.989
3600	270.2737
3633.3333	280.0932
3666.6667	171.481
3700	103.9744
3733.3333	101.5563
3766.6667	69.7287
3800	54.9689
3833.3333	83.1759
3866.6667	83.1532
3900	55.6371
3933.3333	148.6648
3966.6667	229.5625
4000	179.4155
4033.3333	88.2477
4066.6667	109.4262
4100	103.1162
4133.3335	58.1664
4166.6665	55.5307
4200	55.7148
4233.3335	55.2689
4266.6665	73.7868
4300	289.492
4333.3335	297.9249
4366.6665	197.6954
4400	84.4442
4433.3335	55.7602
4466.6665	68.6457
4500	61.3603
4533.3335	120.5773
4566.6665	120.8367
4600	110.5188
4633.3335	171.0806
4666.6665	271.4153
4700	239.143
4733.3335	133.2787
4766.6665	133.2572
4800	123.2333
4833.3335	85.7805
4866.6665	103.8202
4900	104.1585
4933.3335	99.1681
4966.6665	59.1681
5000	214.7263
5033.3335	295.6479
5066.6665	114.7908
5100	71.4451
5133.3335	80.2032
5166.6665	96.4344
5200	136.8264
5233.3335	138.5859
5266.6665	98.9099
5300	75.3658
5333.3335	179.8171
5366.6665	197.5628
5400	168.721
5433.3335	181.9149
5466.6665	207.0918
5500	148.9242
5533.3335	72.2101
5566.6665	65.4339
5600	67.4396
5633.3335	69.4119
5666.6665	148.2584
5700	268.3373
5733.3335	110.5546
5766.6665	71.224
5800	93.5991
5833.3335	143.9123
5866.6665	159.6856
5900	160.3215
5933.3335	127.5436
5966.6665	134.9785
6000	292.6118
6033.3335	245.716
6066.6665	164.2864
6100	140.4375
6133.3335	86.9376
6166.6665	63.4568
6200	163.9792
6233.3335	226.0674
6266.6665	200.557
6300	140.6945
6333.3335	103.47
6366.6665	64.0916
6400	99.2039
6433.3335	248.3337
6466.6665	292.4253
6500	231.5527
6533.3335	118.7808
6566.6665	61.836
6600	62.5544
6633.3335	193.1305
6666.6665	201.0471
6700	203.3529
6733.3335	200.5558
6766.6665	198.5525
6800	135.5259
6833.3335	203.0349
6866.6665	113.6756
6900	90.006
6933.3335	115.5224
6966.6665	126.4918
7000	281.2933
7033.3335	283.2321
7066.6665	252.1635
7100	160.7327
7133.3335	107.7528
7166.6665	105.9312
7200	204.9056
7233.3335	214.8685
7266.6665	134.6163
7300	253.1963
7333.3335	294.2386
7366.6665	219.9498
7400	175.6574
7433.3335	123.3899
7466.6665	69.0342
7500	68.3134
7533.3335	72.8903
7566.6665	74.0103
7600	218.5585
7633.3335	370.9527
7666.6665	301.9412
7700	143.0887
7733.3335	67.0285
7766.6665	69.7968
7800	73.2477
7833.3335	73.886
7866.6665	221.1642
7900	336.3722
7933.3335	292.7564
7966.6665	181.7117
8000	106.928
8033.3335	62.8867
8066.6665	72.3141
8100	76.3794
8133.3335	236.6173
8166.6665	287.2376
8200	210.1936
8233.333	109.143
8266.667	63.7581
8300	75.8176
8333.333	134.7095
8366.667	179.6581
8400	222.4265
8433.333	237.032
8466.667	114.8052
8500	65.7399
8533.333	63.5333
8566.667	103.6039
8600	139.8566
8633.333	163.1688
8666.667	233.8704
8700	220.5092
8733.333	158.1497
8766.667	70.1422
8800	65.0669
8833.333	97.6321
8866.667	114.859
8900	201.9914
8933.333	292.6321
8966.667	242.0559
9000	151.9197
9033.333	67.3273
9066.667	117.6536
9100	102.8138
9133.333	176.7703
9166.667	199.3796
9200	232.9859
9233.333	235.3765
9266.667	149.4741
9300	169.3139
9333.333	189.5075
9366.667	159.7179
9400	77.0954
9433.333	73.3588
9466.667	88.0492
9500	277.3512
9533.333	289.6366
9566.667	166.4451
9600	120.8798
9633.333	117.7636
9666.667	75.2486
9700	70.0526
9733.333	153.3911
9766.667	299.3485
9800	263.9888
9833.333	180.8953
9866.667	127.4145
9900	81.4547
9933.333	69.0712
9966.667	83.1724
10000	316.4619
10033.333	316.6615
10066.667	202.0165
10100	102.4791
10133.333	67.1791
10166.667	82.1611
10200	74.1143
10233.333	210.0143
10266.667	266.3746
10300	279.2649
10333.333	298.5596
10366.667	217.6859
10400	85.1853
10433.333	63.819
10466.667	106.8503
10500	105.0801
10533.333	80.4506
10566.667	79.1035
10600	214.6844
10633.333	208.5788
10666.667	153.9051
10700	136.6603
10733.333	163.366
10766.667	141.6292
10800	98.7593
10833.333	147.2627
10866.667	278.9433
10900	215.1255
10933.333	155.3299
10966.667	155.8702
11000	112.1026
11033.333	66.7918
11066.667	69.7131
11100	173.4306
11133.333	204.7406
11166.667	272.2412
11200	261.928
11233.333	162.7803
11266.667	85.5761
11300	65.4913
11333.333	74.6689
11366.667	75.4638
11400	227.1241
11433.333	318.1401
11466.667	219.9127
11500	169.5649
11533.333	173.6636
11566.667	116.0531
11600	67.2831
11633.333	97.3117
11666.667	243.0899
11700	252.3703
11733.333	172.6751
11766.667	115.4901
11800	69.749
11833.333	66.2706
11866.667	67.5628
11900	154.3689
11933.333	236.7583
11966.667	240.4399
12000	139.5446
12033.333	107.387
12066.667	106.2132
12100	107.6201
12133.333	120.3849
12166.667	231.0913
12200	194.2171
12233.333	239.8912
12266.667	208.8394
12300	175.7124
12333.333	113.0708
12366.667	166.169
12400	163.6959
12433.333	138.1975
12466.667	126.6137
12500	79.8386
12533.333	89.9151
12566.667	241.732
12600	256.0459
12633.333	193.7246
12666.667	162.6787
12700	96.8264
12733.333	67.4349
12766.667	67.8078
12800	158.3935
12833.333	153.0947
12866.667	217.7612
12900	331.5073
12933.333	264.4143
12966.667	141.279
13000	78.2465
13033.333	66.0734
13066.667	66.0937
13100	65.41
13133.333	135.4674
13166.667	310.3622
13200	288.8274
13233.333	141.6699
13266.667	67.3177
13300	78.8597
13333.333	78.886
13366.667	94.0222
13400	234.0306
13433.333	263.0433
13466.667	168.0062
13500	80.7112
13533.333	69.9343
